country,storage,value
Bbcity,Hydrogen,2.06896551724138
Bbcountry,Hydrogen,2.06896551724138
Becity,Hydrogen,2.06896551724138
Becountry,Hydrogen,2.06896551724138
Bwcity,Hydrogen,2.06896551724138
Bwcountry,Hydrogen,2.06896551724138
Bycity,Hydrogen,2.06896551724138
Bycountry,Hydrogen,2.06896551724138
Hbcity,Hydrogen,2.06896551724138
Hbcountry,Hydrogen,2.06896551724138
Hecity,Hydrogen,2.06896551724138
Hecountry,Hydrogen,2.06896551724138
Hhcity,Hydrogen,2.06896551724138
Hhcountry,Hydrogen,2.06896551724138
Mvcity,Hydrogen,2.06896551724138
Mvcountry,Hydrogen,2.06896551724138
Nicity,Hydrogen,2.06896551724138
Nicountry,Hydrogen,2.06896551724138
Nwcity,Hydrogen,2.06896551724138
Nwcountry,Hydrogen,2.06896551724138
Rpcity,Hydrogen,2.06896551724138
Rpcountry,Hydrogen,2.06896551724138
Shcity,Hydrogen,2.06896551724138
Shcountry,Hydrogen,2.06896551724138
Slcity,Hydrogen,2.06896551724138
Slcountry,Hydrogen,2.06896551724138
Sncity,Hydrogen,2.06896551724138
Sncountry,Hydrogen,2.06896551724138
Stcity,Hydrogen,2.06896551724138
Stcountry,Hydrogen,2.06896551724138
Thcity,Hydrogen,2.06896551724138
Thcountry,Hydrogen,2.06896551724138
Bbcity,PumpedHydro,0.0
Bbcountry,PumpedHydro,76.9230769230769
Becity,PumpedHydro,0.0
Becountry,PumpedHydro,76.9230769230769
Bwcity,PumpedHydro,0.0
Bwcountry,PumpedHydro,76.9230769230769
Bycity,PumpedHydro,0.0
Bycountry,PumpedHydro,76.9230769230769
Hbcity,PumpedHydro,0.0
Hbcountry,PumpedHydro,76.9230769230769
Hecity,PumpedHydro,0.0
Hecountry,PumpedHydro,76.9230769230769
Hhcity,PumpedHydro,0.0
Hhcountry,PumpedHydro,76.9230769230769
Mvcity,PumpedHydro,0.0
Mvcountry,PumpedHydro,76.9230769230769
Nicity,PumpedHydro,0.0
Nicountry,PumpedHydro,76.9230769230769
Nwcity,PumpedHydro,0.0
Nwcountry,PumpedHydro,76.9230769230769
Rpcity,PumpedHydro,0.0
Rpcountry,PumpedHydro,76.9230769230769
Shcity,PumpedHydro,0.0
Shcountry,PumpedHydro,76.9230769230769
Slcity,PumpedHydro,0.0
Slcountry,PumpedHydro,76.9230769230769
Sncity,PumpedHydro,0.0
Sncountry,PumpedHydro,76.9230769230769
Stcity,PumpedHydro,0.0
Stcountry,PumpedHydro,76.9230769230769
Thcity,PumpedHydro,0.0
Thcountry,PumpedHydro,76.9230769230769
Bbcity,Battery,1.72413793103448
Bbcountry,Battery,1.72413793103448
Becity,Battery,1.72413793103448
Becountry,Battery,1.72413793103448
Bwcity,Battery,1.72413793103448
Bwcountry,Battery,1.72413793103448
Bycity,Battery,1.72413793103448
Bycountry,Battery,1.72413793103448
Hbcity,Battery,1.72413793103448
Hbcountry,Battery,1.72413793103448
Hecity,Battery,1.72413793103448
Hecountry,Battery,1.72413793103448
Hhcity,Battery,1.72413793103448
Hhcountry,Battery,1.72413793103448
Mvcity,Battery,1.72413793103448
Mvcountry,Battery,1.72413793103448
Nicity,Battery,1.72413793103448
Nicountry,Battery,1.72413793103448
Nwcity,Battery,1.72413793103448
Nwcountry,Battery,1.72413793103448
Rpcity,Battery,1.72413793103448
Rpcountry,Battery,1.72413793103448
Shcity,Battery,1.72413793103448
Shcountry,Battery,1.72413793103448
Slcity,Battery,1.72413793103448
Slcountry,Battery,1.72413793103448
Sncity,Battery,1.72413793103448
Sncountry,Battery,1.72413793103448
Stcity,Battery,1.72413793103448
Stcountry,Battery,1.72413793103448
Thcity,Battery,1.72413793103448
Thcountry,Battery,1.72413793103448
